wealth,happiness
45802,9.27
15103,4.67
58344,8.0
8638,0.84
26922,7.35
33157,7.49
6076,2.66
36493,9.19
14961,2.81
5261,0.83
70559,9.08
11759,2.8
131061,9.7
9069,3.46
80222,8.01
57334,7.78
35734,8.66
37122,7.55
75738,7.91
39449,6.45
53773,9.59
18665,5.48
8326,2.89
18028,5.64
45389,7.67
14404,5.17
17423,6.48
42575,7.56
12508,3.85
24086,5.53
187344,9.1
51158,7.63
79023,9.71
6305,1.45
20160,5.45
119525,10.0
88618,9.08
25143,7.82
103392,9.01
16328,5.02
37964,7.69
96242,10.0
25393,7.11
33495,10.0
8812,3.48
44495,8.47
67824,8.98
24226,6.39
227091,7.12
83868,9.12
5462,1.66
35799,5.98
17415,4.68
27821,6.3
29185,9.04
17228,4.34
32773,8.36
86769,10.0
19178,4.39
11635,2.57
62505,7.33
35231,7.09
5023,1.72
110859,10.0
89387,10.0
7387,1.74
89153,10.0
31621,7.02
7869,2.83
10497,1.56
30796,6.26
87365,9.43
27006,6.93
57363,10.0
13983,2.93
46979,10.0
28057,6.19
15180,4.49
21505,5.09
14950,4.08
7946,2.18
99332,9.23
83540,10.0
49223,8.95
14644,6.17
38856,9.79
30597,7.49
13449,2.21
9078,2.0
30171,7.49
57237,7.52
9144,0.26
25608,5.25
16436,6.67
13439,3.07
18059,5.51
16497,5.89
84032,9.1
36969,10.0
77322,10.0
143946,10.0
12276,2.93
31593,7.43
7417,3.65
24055,7.04
66312,9.22
29279,4.45
220466,10.0
37456,7.64
19079,4.71
143577,8.76
60129,8.44
7355,1.43
81617,8.96
11852,4.21
13223,4.0
41158,7.71
10108,2.61
93396,9.8
43638,9.73
26736,5.41
114154,9.22
14139,4.15
25153,5.55
49552,8.33
60751,10.0
8012,0.0
226835,10.0
8043,2.95
113278,10.0
90100,10.0
11867,3.05
76769,9.1
179436,8.54
47450,10.0
19232,5.47
48553,9.11
9906,3.05
9528,2.34
42138,7.86
55579,9.37
17260,6.48
31819,8.96
8874,1.8
27036,6.59
63982,9.32
45547,8.25
37090,9.54
27323,7.08
90860,9.76
98707,7.81
39940,7.39
11411,4.32
96698,10.0
68609,10.0
14433,2.58
16482,6.36
91213,10.0
25860,5.98
111302,9.45
84983,10.0
90285,9.43
6004,2.05
111839,8.9
69827,10.0
17414,3.5
66929,10.0
83245,10.0
15063,5.02
19565,4.31
68457,9.39
13584,4.43
20915,7.56
18092,2.99
46031,5.91
35733,9.43
117031,10.0
12868,5.96
136373,9.91
27806,7.24
57158,8.4
33650,8.78
24458,5.49
54348,8.47
5068,3.06
55837,8.31
59184,8.56
7902,1.79
48654,8.11
80359,10.0
55884,8.64
25997,7.36
25593,6.25
26820,7.13
117780,8.86
43234,6.09
19321,5.35
18526,5.22
27477,5.26
30019,6.22
