year,era,wealth,happiness
1980,1980s,75.4,5.63
1980,1980s,27.5,4.0
1980,1980s,105.3,6.34
1980,1980s,121.5,7.32
1980,1980s,13.9,3.42
1980,1980s,22.6,3.32
1980,1980s,66.0,5.15
1980,1980s,47.3,4.75
1980,1980s,59.2,4.74
1980,1980s,31.6,4.3
1980,1980s,116.0,6.57
1980,1980s,107.5,6.38
1980,1980s,63.0,5.4
1980,1980s,139.7,7.41
1980,1980s,85.2,5.86
1980,1980s,31.5,3.85
1980,1980s,79.1,6.17
1980,1980s,29.2,4.11
1980,1980s,116.0,6.33
1980,1980s,57.8,4.99
1980,1980s,52.2,4.85
1980,1980s,36.0,4.23
1980,1980s,150.1,6.46
1980,1980s,53.4,4.29
1980,1980s,43.5,4.12
1980,1980s,46.1,4.2
1980,1980s,89.4,5.68
1980,1980s,78.9,5.86
1980,1980s,81.8,5.65
1980,1980s,82.9,5.81
1980,1980s,299.0,7.39
1980,1980s,44.2,4.3
1980,1980s,40.9,4.53
1980,1980s,32.6,4.15
1980,1980s,95.2,5.78
1980,1980s,139.9,6.87
1980,1980s,55.1,5.66
1980,1980s,32.0,3.9
1980,1980s,32.3,3.69
1980,1980s,97.7,6.03
1980,1980s,104.8,6.27
1980,1980s,90.2,5.87
1980,1980s,36.4,4.11
1980,1980s,71.4,4.92
1980,1980s,65.5,4.9
1980,1980s,70.7,5.35
1980,1980s,115.3,6.37
1980,1980s,71.0,5.21
1980,1980s,99.8,6.07
1980,1980s,63.1,5.19
1980,1980s,74.5,5.83
1980,1980s,96.3,6.03
1980,1980s,20.1,3.43
1980,1980s,47.2,4.4
1980,1980s,42.2,4.58
1980,1980s,37.2,4.29
1980,1980s,48.8,4.95
1980,1980s,184.1,7.53
1980,1980s,31.3,4.09
1980,1980s,124.0,6.54
1980,1980s,17.0,3.2
1980,1980s,46.7,4.94
1980,1980s,67.8,5.09
1980,1980s,93.1,5.77
1980,1980s,102.3,6.25
1980,1980s,108.8,6.46
1980,1980s,46.2,4.26
1980,1980s,42.4,4.36
1980,1980s,114.2,6.38
1980,1980s,52.0,4.0
1980,1980s,23.0,3.37
1980,1980s,25.6,3.54
1980,1980s,30.1,3.76
1980,1980s,87.1,6.34
1980,1980s,66.8,4.86
1980,1980s,100.7,5.86
1980,1980s,43.5,3.52
1980,1980s,67.6,5.14
1980,1980s,95.9,5.91
1980,1980s,47.6,4.42
1980,1980s,84.5,6.17
1980,1980s,36.5,4.43
1980,1980s,45.7,4.55
1980,1980s,45.1,4.37
1980,1980s,24.5,3.89
1980,1980s,86.5,5.82
1980,1980s,42.2,4.09
1980,1980s,60.6,4.48
1980,1980s,86.0,5.67
1980,1980s,83.9,6.03
